title,area_max_building_height_m,area_avg_building_height_m,area_total_building_area_m2,max_tree_height,canopy_cover,area_max_tree_height,area_avg_tree_height,area_canopy_cover,area_tree_count,area_greenspace_m2,area_private_gardens_m2
307 3,13,6.57,7619,6.32,2.69,15.48,8.88,2086.8,57,0,0.0358199325601163
307 4,15.8,5.28,9486,0,0,11.9,7.02,757.3,24,0,0
307 5,34.7,8.04,13067,0,0,11.28,7.52,412.8,15,0,0
307 6,13,6.61,13612,0,0,11.28,4.96,458.7,31,0,0
307 7,7.2,4.23,4650,0,0,22.38,9.46,3739.5,78,0,1685.04419526586
307 8,10.2,6.31,9211,0,0,12.83,8.63,1558.3,41,0,0
307 9,10.5,3.87,3940,0,0,16.51,11.2,1259,27,0,0
308 1,15.9,8.07,20351,11.62,2.81,11.62,5.96,1485.7,60,964.069490000235,0
308 10,17.7,6.87,19398,0,0,10.09,7.36,1611.8,50,0,0
308 11,17.7,6.76,15901,6.73,77.81,23.78,7.9,3350.1,65,375.977090001681,0
308 12,17.7,7.42,7789,6.46,101.88,17.72,6.8,4009.3,106,345.277086925809,0
308 2,17.7,7.77,13410,0,0,14.29,7.39,2943.9,66,0,0
308 3,14.2,6.64,9539,2.77,41.12,20.52,7.15,5153.2,135,103.927176189842,0
308 4,15.9,5.63,18850,5.27,31.38,11.51,5.44,1496.9,85,433.162596062333,0
308 5,10.3,7.36,9949,0,0,20.52,8.66,6926.5,167,0,0
308 6,15.4,7.81,18551,2.79,16.06,11.35,5.17,1654.5,51,0,0
308 7,15.9,6.67,13701,0,0,21.87,7.39,3807.1,113,0,0
308 8,17.7,4.74,19668,0,0,9.94,5.33,538.6,23,0,0
308 9,15.4,6.57,13150,0,0,11.35,6.16,1465.3,42,0,0
309 1,15.9,8.06,11626,4.31,22.44,9.85,5.62,2163,84,1590.88432242208,0
309 10,24.3,5.71,4660,0,0,17.06,9.24,3507.6,58,0,727.372380948567
309 11,24,9.22,6744,0,0,16.21,6.05,2921.5,74,1746.5432166215,0
309 12,15.9,7.54,4236,0,0,7.8,4.87,797.3,41,153.472187259933,0
309 2,16.6,6.81,10557,0,0,9.2,6.07,2772.8,87,1733.49165093037,0
309 3,16.6,5.63,3715,0,0,17.06,8.79,8429.1,129,4397.37189495773,3618.34957592021
309 4,16.6,5.72,9590,10.04,400,17.06,7.87,10118.3,154,6546.04525785257,2390.2369519929
309 5,16.6,9.03,16755,0,0,9.2,5.73,347.8,20,71.4095431618771,0
309 6,16.6,10.93,17543,8.140000000000002,44.62,10.19,6.57,2602.8,70,1985.670187162,0
309 7,39.4,11.45,5416,0,0,15.43,9.39,2217.3,32,583.561781527736,0
309 8,15.9,8.4,8798,4.94,205.25,12.46,5.12,3196.9,102,3569.98299086187,0
309 9,13.3,6.53,5970,0,0,9.85,5.89,1641.1,67,596.54144227205,0
310 1,24.3,4.94,10059,0,0,28.04,8.58,2613.8,62,0,2779.39089507768
310 10,9,4.46,8423,17.96,20.75,20.55,7.19,2958.6,102,0,15676.0860608844
310 11,6.7,4.9,7595,14.5,347.06,17.29,7.72,2959.6,86,0,22523.7676487719
310 12,7.9,5.39,4337,15.31,208.69,17.36,9.45,9700,140,0,10886.3565002865
310 2,8.2,4.83,4480,18.11,217.56,18.11,9.09,8684.6,149,0,17741.0888905135
310 3,14.5,4.94,3433,0,0,28.04,9.05,4227.6,76,0,4240.12925341809
310 4,7.7,4.57,3647,26.03,400,28.04,8.93,8821.3,152,0,10198.69244758
310 5,8.9,4.31,4811,6.92,111.31,18.9,9.08,6958.9,157,2691.07676869375,13684.5766269582
310 6,8.8,5.1,7695,4.480000000000002,11.12,19.92,8.64,4297.8,102,0,22442.1267211174
310 7,8.5,3.92,9739,7.37,90.12,18.32,6.02,2859.9,104,0,21658.9597054089
310 8,9,5,7482,19.92,291.81,19.92,8.76,3172.3,82,0,19533.9836453874
310 9,7.9,5.26,3659,0,0,16.39,9.35,5664.3,85,0,8528.89229145139
311 1,7.8,4.56,2613,21.25,112.94,25.16,12.02,12398.5,170,1475.84859291049,6734.17320113851
